state,;,.,program,identifier,(,),constant,constant-definition,var,:,begin,end,integer,real,boolean,string,",",:=,writeln,number,readln,repeat-stateexpressionment,while,do,repeat,until,for,to,downto,if,then,else,+,-,not,=,<>,<,<=,>,>=,or,*,/,div,mod,and,$,programa',programa,program-heading,opt-program-parameters,program-parameters,program-block,constant-declaration-part,more-constant-definition,variable-declaration-part,more-variable-declaration,variable-declaration,statement-part,type,identifier-list,more-identifier,statement-sequence,more-statement,statement,simple-statement,assignment-statement,IO-statement,writeln-statement,opt-element-list,element-list,more-element,element,readln-statement,opt-identifier-list,structured-statement,compound-statement,repetitive-statement,while-statement,repeat-statement,for-statement,to-downto,conditional-statement,opt-else,expression,opt-rel-expression,simple-expression,opt-sign,more-add-term,term,more-mult-term,factor,relational-operator,addition-operator,multiplication-operator
44,r45,,,,s64,,,,,,,r45,,,,,,,,,,,,,,r45,,,,,,r45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,
45,,,,r68,r68,,,,,,,,,,,r68,,,,r68,,,,,,,,,,,,,s60,s61,r68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,58,59,,,,,,,
46,,,,s66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,s17,,,,,,,r14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,68,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,s70,s71,s72,s73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,r7,,,,,,,r7,,r7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,s74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,r23,,,,r23,,,,,,,s25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,s76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,r24,,,,,,,,,,,,,,r24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,r31,,,s35,,,,,,,s38,r31,,,,,,,s43,,s44,s40,s45,,,r31,s46,,,s42,,r31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,28,30,31,36,,,,,37,,29,32,33,39,,41,,34,,,,,,,,,,,,
55,,,,r68,r68,,,,,,,,,,,r68,,,,r68,,,,,,,,,,,,,s60,s61,r68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,58,59,,,,,,,
56,,,,,,,,,,,,s79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,r64,,,,,r64,,,,,,r64,,,,,,,,,,,,r64,,r64,,r64,r64,,r64,r64,,,,s83,s84,s85,s86,s87,s88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,82,,
59,,,,s91,s94,,,,,,,,,,,s93,,,,s92,,,,,,,,,,,,,,,s95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,90,,,
60,,,,r66,r66,,,,,,,,,,,r66,,,,r66,,,,,,,,,,,,,,,r66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,r67,r67,,,,,,,,,,,r67,,,,r67,,,,,,,,,,,,,,,r67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,s101,,r37,,,,,,,,,,s100,,,,s99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,97,,98,,,,,,,,,,,,,,,,,,,,,,
63,r44,,,,,,,,,,,r44,,,,,,,,,,,,,,r44,,,,,,r44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,s17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,s103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,s104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,s105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,r18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,r10,,,,,,s50,r10,,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,r22,,,,r22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,s54,,,,,,,,,,,r26,,,,,,,,,,,,,,r26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,r32,,,,,,,,,,,r32,,,,,,,,,,,,,,r32,,,,,,r32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,s108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,r31,,,s35,,,,,,,s38,r31,,,,,,,s43,,s44,s40,s45,,,r31,s46,,,s42,,r31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,28,30,31,36,,,,,37,,29,32,33,39,,41,,34,,,,,,,,,,,,
81,r62,,,,,r62,,,,,,r62,,,,,,,,,,,,r62,,r62,,r62,r62,,r62,r62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,r68,r68,,,,,,,,,,,r68,,,,r68,,,,,,,,,,,,,s60,s61,r68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,59,,,,,,,
83,r79,,,r79,r79,r79,,,,,,r79,,,,r79,,,,r79,,,,r79,,r79,,r79,r79,,r79,r79,r79,r79,r79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,r80,,,r80,r80,r80,,,,,,r80,,,,r80,,,,r80,,,,r80,,r80,,r80,r80,,r80,r80,r80,r80,r80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,r81,,,r81,r81,r81,,,,,,r81,,,,r81,,,,r81,,,,r81,,r81,,r81,r81,,r81,r81,r81,r81,r81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,r82,,,r82,r82,r82,,,,,,r82,,,,r82,,,,r82,,,,r82,,r82,,r82,r82,,r82,r82,r82,r82,r82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,r83,,,r83,r83,r83,,,,,,r83,,,,r83,,,,r83,,,,r83,,r83,,r83,r83,,r83,r83,r83,r83,r83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,r84,,,r84,r84,r84,,,,,,r84,,,,r84,,,,r84,,,,r84,,r84,,r84,r84,,r84,r84,r84,r84,r84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,r70,,,,,r70,,,,,,r70,,,,,,,,,,,,r70,,r70,,r70,r70,,r70,r70,s113,s114,,r70,r70,r70,r70,r70,r70,s115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,,,,,112,
